sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
168,SANIMA,254.00,-1.70,-0.66,253.10,257.00,252.50,"17,035.00",255.70,https://www.sharesansar.com/company/sanima
169,SAPDBL,230.50,-9.50,-3.96,240.00,243.00,230.50,"2,375.00",240.00,https://www.sharesansar.com/company/sapdbl
170,SBCF,7.73,0.08,1.05,7.50,7.73,7.50,500.00,7.65,https://www.sharesansar.com/company/sbcf
171,SBI,277.00,3.00,1.09,279.40,282.70,272.10,"1,203.00",274.00,https://www.sharesansar.com/company/sbi
172,SBL,303.00,-2.00,-0.66,305.00,306.90,302.00,"8,095.00",305.00,https://www.sharesansar.com/company/sbl
173,SCB,419.00,0.00,0.00,420.00,420.00,412.00,"3,892.00",419.00,https://www.sharesansar.com/company/scb
174,SDLBSL,998.00,12.00,1.22,989.00,999.00,989.00,131.00,986.00,https://www.sharesansar.com/company/sdlbsl
175,SEF,8.33,-0.17,-2.00,8.33,8.33,8.33,"2,500.00",8.50,https://www.sharesansar.com/company/sef
176,SFCL,274.00,1.70,0.62,276.00,284.00,271.60,"6,646.00",272.30,https://www.sharesansar.com/company/sfcl
177,SFMF,10.83,-0.06,-0.55,10.83,10.83,10.83,"1,000.00",10.89,https://www.sharesansar.com/company/sfmf
178,SGHC,279.10,-4.90,-1.73,279.00,297.00,279.00,"4,222.00",284.00,https://www.sharesansar.com/company/sghc
179,SHEL,264.00,5.00,1.93,259.00,268.20,254.20,"3,670.00",259.00,https://www.sharesansar.com/company/shel
180,SHINE,301.90,-1.20,-0.40,309.00,309.00,300.00,"11,544.00",303.10,https://www.sharesansar.com/company/shine
181,SHIVM,664.20,-5.80,-0.87,676.00,680.00,664.20,"33,057.00",670.00,https://www.sharesansar.com/company/shivm
182,SHL,209.00,1.00,0.48,211.00,212.10,196.50,"100,859.00",208.00,https://www.sharesansar.com/company/shl
183,SHPC,312.90,0.00,0.00,307.00,315.00,307.00,"10,341.00",312.90,https://www.sharesansar.com/company/shpc
184,SICL,775.00,1.00,0.13,774.00,787.00,771.50,"3,680.00",774.00,https://www.sharesansar.com/company/sicl
